generation,frame,population_size,average_fitness,best_fitness,worst_fitness,average_lifespan,best_lifespan,average_food_eaten,average_distance_traveled,average_spike_hits,behavioral_diversity_score,average_weight_magnitude,weight_std,convergence_score,mutation_rate,mutation_strength,recurrent_memory_usage
174,109592,1,0.198,0.198,0.198,927.0,927,2.0,1217.9,3.0,0.0,0.4705,0.5584,0.0,0.05,0.2,0
175,109817,168,0.9188,1.0,0.198,2958.6,3000,19.23,4122.3,2.83,0.102,0.4717,0.5579,0.8431,0.05,0.2,0
176,110208,174,0.9062,1.0,0.0772,2933.3,3000,18.84,4085.8,2.86,0.1064,0.4716,0.558,0.7854,0.05,0.2,0
177,110953,1,0.1149,0.1149,0.1149,745.0,745,0.0,778.5,1.0,0.0,0.4645,0.5485,0.0,0.05,0.2,0
178,111665,2,0.0852,0.1125,0.0579,514.0,675,0.0,834.4,1.5,0.1165,0.4794,0.566,0.835,0.05,0.2,0
179,112410,1,0.0253,0.0253,0.0253,155.0,155,0.0,229.7,2.0,0.0,0.4839,0.5735,0.0,0.05,0.2,0
180,112689,1,0.0264,0.0264,0.0264,163.0,163,0.0,232.1,2.0,0.0,0.468,0.5557,0.0,0.05,0.2,0
181,112817,156,0.9447,1.0,0.5861,3000.0,3000,20.17,4217.4,2.83,0.1063,0.4716,0.5576,0.7783,0.05,0.2,0
182,113953,1,0.2782,0.2782,0.2782,948.0,948,5.0,1339.9,6.0,0.0,0.4742,0.562,0.0,0.05,0.2,0
183,114665,1,0.0945,0.0945,0.0945,561.0,561,0.0,984.1,2.0,0.0,0.4782,0.563,0.0,0.05,0.2,0
184,115234,2,0.0735,0.0867,0.0603,390.0,402,0.5,450.9,2.5,0.3952,0.4734,0.5562,0.8619,0.05,0.2,0
185,115689,189,0.8729,1.0,0.033,2854.6,3000,17.96,3975.4,2.77,0.1095,0.4718,0.558,0.8377,0.05,0.2,0
186,116432,3,0.1291,0.1775,0.0885,628.0,743,1.0,1019.5,2.67,0.1734,0.4683,0.5538,0.8193,0.05,0.2,0
187,116953,151,0.9505,1.0,0.8886,3000.0,3000,20.46,4213.8,2.83,0.0962,0.4716,0.5576,0.7818,0.05,0.2,0
188,117665,160,0.932,1.0,0.1884,2971.4,3000,19.81,4173.6,2.79,0.0962,0.4717,0.5578,0.8413,0.05,0.2,0
